Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Destination_TRAPPIST-1e,Destination_55 Cancri e,HomePlanet_Earth,HomePlanet_Europa,CryoSleep_True,VIP_False
0.16455696202531644,0.0,0.0,0.001319598161076111,0.0,0.03983084185680567,1.0,0.0,1.0,0.0,0.0,1.0
0.27848101265822783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.37974683544303794,0.0,0.00013416965753194915,0.0682785629150349,0.03025705105319529,0.08266129032258064,1.0,0.0,1.0,0.0,0.0,1.0
0.4050632911392405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.8227848101265822,0.0,0.0,0.0,0.0,0.04469905586152636,1.0,0.0,1.0,0.0,0.0,1.0
0.31645569620253167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.26582278481012656,0.06840231730299434,6.708482876597457e-05,0.002937170100459731,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.3670886075949367,0.016053605081315,0.0,0.05976502639196322,0.02070689039628704,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.49367088607594933,0.013750261743561108,0.0,0.10220500595947556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.2911392405063291,0.00034899141481119564,0.010331063629960084,0.015452068789375106,0.0003123884327026062,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.45569620253164556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.08860759493670886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.49367088607594933,0.0006979828296223913,0.00667494046221447,0.0,0.2774009282399143,0.004966561762391818,0.0,1.0,0.0,1.0,0.0,1.0
0.7974683544303798,6.979828296223913e-05,0.030087545701539598,0.0,0.0,0.0003933910306845004,0.0,0.0,1.0,0.0,0.0,1.0
0.4430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.46835443037974683,0.000558386263697913,0.000704390702042733,0.0,0.0024991074616208496,0.10655979543666404,1.0,0.0,0.0,1.0,0.0,1.0
0.18987341772151897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.3924050632911392,0.0,0.0,0.0,0.037397358086397714,0.0013276947285601889,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.16455696202531644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7341772151898734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.3291139240506329,0.0,0.025123268372857478,0.0008513536523071684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.22784810126582278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.18987341772151897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.43037974683544306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.34177215189873417,0.0,0.03300573575285949,0.0,0.6245537308104249,0.015342250196695516,0.0,1.0,0.0,1.0,0.0,1.0
0.3037974683544304,0.010888532142109305,0.0,0.015494636471990463,0.02182256337022492,0.018833595594020456,1.0,0.0,1.0,0.0,0.0,1.0
0.3670886075949367,0.09003978502128847,0.0,0.0002554060956921505,4.4626918957515175e-05,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.6835443037974683,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.4810126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.3653258006966273,0.0002791931318489565,0.0,0.00038310914353822576,0.0008925383791503035,0.04086349331235248,1.0,0.0,1.0,0.0,0.0,1.0
0.3291139240506329,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.24050632911392406,6.979828296223913e-05,3.3542414382987286e-05,0.0,0.0,0.08630015735641228,1.0,0.0,1.0,0.0,0.0,1.0
0.620253164556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.3291139240506329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.5443037974683544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.37974683544303794,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.05063291139240506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
